NDX,SSE
9092.19,3066.34
9020.77,3089.02
9071.46,3070.91
9068.58,3085.49
9129.24,3094.24
9203.43,3082.64
9178.86,3102.29
9273.93,3091.49
9251.33,3120.67
9258.7,3103.17
9357.13,3095.73
9388.94,3081.46
9370.81,3085.79
9383.77,3038.49
9402.48,3037.95
9273.4,2716.7
9467.97,2685.27
9508.68,2792.37
9572.15,2826.89
9520.51,2858.93
9628.39,2860.5
9638.94,2894.54
9725.96,2895.56
9711.97,2927.14
9731.18,2899.87
9732.74,2981.41
9817.18,2979.52
9750.96,2981.88
9576.59,3022.25
9221.28,3027.89
8965.61,2982.07
8980.77,2978.42
8566.48,2992.49
8567.37,2924.64
8952.16,2899.31
8684.09,3006.89
9018.09,2981.81
8738.6,3036.15
8575.62,3039.94
7950.68,2987.18
8344.25,2918.93
7952.05,3001.76
7201.8,2936.02
7874.88,2804.23
6904.59,2897.3
7334.78,2796.28
6989.84,2792.32
7150.58,2719.41
6879.52,2727.02
6860.67,2677.59
7417.86,2703.02
7384.3,2775.3
7797.54,2761.9
7502.38,2792.98
7774.15,2739.72
7700.1,2767.31
7360.58,2743.54
7487.31,2720.23
7373.08,2773.58
7887.26,2806.97
8090.9,2805.92
8153.58,2825.84
8192.42,2784.6
8515.74,2794.8
8393.18,2826.66
8532.36,2798.43
8650.14,2835.56
8560.73,2840.41
8263.23,2842.24
8495.38,2814.07
8494.75,2850.51
8634.52,2834.94
8730.16,2812.24
8607.73,2819.99
8914.71,2801.38
8889.55,2832.38
8854.39,2831.63
8979.66,2876.47
9121.32,2882.71
9192.34,2901.57
9002.55,2894.62
8863.17,2882.96
8943.72,2887.06
9014.56,2880.71
9234.83,2872.52
9185.1,2897.69
9375.78,2896.47
9284.88,2890.72
9324.59,2863.05
9340.22,2827.9
9412.36,2847.32
9368.99,2838.21
9489.87,2835.58
9552.05,2871.96
9608.37,2916.32
9682.91,2930.39
9615.81,2931.84
9814.08,2923.19
9924.74,2941.98
9953.75,2939.54
10020.35,2951.28
9492.73,2939.79
9588.81,2876.8
9726.02,2908.28
9895.87,2912.83
9910.53,2932.67
9943.05,2929.88
9946.12,2938.79
10056.47,2966.9
10131.37,2960.89
9909.17,2972.98
9874.15,2973.08
10058.77,2965.11
10154.63,2991.18
10207.63,3023.72
10433.65,3187.84
10343.89,3380.95
10492.5,3337.55
10547.75,3403.48
10617.44,3418.93
10390.84,3379.39
10488.58,3435.02
10550.49,3422.08
10473.83,3356.36
10503.19,3214.4
10767.09,3243.91
10680.36,3330.55
10706.13,3315.18
10461.42,3306.15
10363.18,3310.64
10536.27,3210.39
10402.09,3226.13
10542.94,3221.99
10587.81,3299.57
10745.27,3280.8
10902.8,3332.18
10941.17,3376.44
10998.4,3363.33
11108.07,3380.76
11010.98,3370.59
10968.36,3341.53
10782.82,3379.49
11012.24,3327.49
11042.5,3328.18
11019.3,3315.67
11129.73,3373.9
11210.84,3441.93
11146.46,3444.56
11264.95,3385.96
11311.8,3380.23
11379.72,3391.11
11466.47,3392.88
11665.06,3371.81
11625.34,3333.49
11695.63,3346.29
11775.46,3416.55
11939.67,3389.74
12056.44,3420.47
11458.1,3404.03
11313.13,3336.41
10847.69,3301.22
11141.56,3281.0
10919.59,3282.23
10853.55,3225.78
11056.65,3275.92
11190.32,3277.13
11050.47,3293.17
10910.28,3277.32
10793.28,3270.91
10778.8,3348.9
10963.64,3290.67
10632.99,3278.84
10672.27,3262.88
10913.56,3234.37
11117.53,3224.98
11085.25,3231.86
11167.51,3232.71
11580.05,3262.61
11876.36,3287.33
11864.0,3353.12
11768.83,3353.62
11713.97,3342.92
11671.66,3334.46
11478.98,3351.1
11516.49,3307.15
