device_id,event_count,gender,age
-6242501228649113250,4150,M,20
-8340098378141155823,3973,M,28
-3746248670824158209,3907,M,46
5375599021847302819,3128,F,47
4782582047729166353,2899,M,36
1779631023439405334,2757,F,39
5098778421671837341,2722,M,38
3724654925765159056,2347,M,48
-6875585507485886098,2310,M,35
6356179019102873408,2023,M,58
-1516688507910543815,1915,F,43
-3230567043058251011,1749,F,28
-3926780516486003005,1686,M,34
-2241630667689903982,1519,M,31
3074308677943390456,1511,M,24
1057289835566390654,1493,M,31
2334568628287627595,1444,M,39
-1448078833416777863,1368,M,34
2297498661011104993,1364,M,34
-4912313799611459867,1363,M,37
6873838308926667080,1352,F,35
8656930911885790726,1345,M,28
5372094152098738129,1338,M,50
-4814793614000680392,1311,M,24
2526025498254449332,1310,M,34
1059108490518975017,1303,M,29
-2929761712790823463,1293,M,26
4229754489691870487,1288,F,30
-6633252998374992796,1278,M,48
5556226373617229451,1271,M,31
-6298312208561881731,1268,F,25
6652564576348027178,1255,M,29
-8378704684140683044,1231,M,37
1844864993519299913,1208,M,22
-8783851385933673163,1204,F,43
-6388737433201969835,1196,M,36
5266220763241423819,1166,M,40
7623705599913680561,1145,M,38
1522573667677189193,1139,M,35
-6905166387765871903,1130,F,27
4100499219285606192,1127,M,29
-3487847400917504260,1118,M,29
3739653641156240220,1117,M,25
3964358227080490162,1103,M,26
8402632590848753028,1085,F,24
4558959792347496111,1076,M,23
4810860241711208118,1056,M,32
8490622669015199443,1052,M,33
4452542815713609230,1040,M,29
-5196196551075293756,1036,M,31
-3466700405566229536,1032,M,29
6617253823731549665,1029,M,36
-1212279021374798828,1009,F,48
-8478765827760456683,992,M,42
-8850950587941729313,972,M,30
-7417241229334258345,961,M,40
-2831902398235305114,941,M,28
-7380388042901459739,938,F,29
6759932097019258703,931,F,42
-4017903103489532354,930,M,30
2360178808011239821,929,M,25
-6291376247074424522,923,F,27
-1291777568991353280,923,F,46
-2919149865223224032,918,M,29
8479954671003649710,906,M,37
5022715212150420319,906,M,35
-669426881946113309,902,M,50
5113458015515993048,902,M,39
-8886768683305255724,898,M,35
-5767304564679115024,894,M,29
9037902918848352977,891,M,26
5982602838212574560,888,M,29
5388979319207199921,888,F,23
-1319995297521489561,864,M,31
-5432312448689854318,861,M,46
-6828890587571456524,858,M,26
-3542979781695698753,858,M,32
-6448451147225190963,855,F,34
-889596241698087469,854,M,42
-2939863281170973665,851,M,29
-5492257379977025099,837,F,34
-2726586691468891987,836,M,19
6435531434380257148,830,M,25
-4734045176898782786,829,M,29
-1168532065303398550,829,M,31
-3795487111324133346,823,M,24
1586940705234473393,817,M,45
-3347442782110079230,814,F,43
4043184832365481628,813,M,38
-1927239126591229232,806,M,37
1834910065356063214,806,M,28
-2668732172869127974,806,M,53
6556238795193786203,806,M,30
2399102809401326432,802,M,44
9125896648976328820,801,F,25
7478423496493189633,800,F,31
3309765693003905218,800,M,31
-2658161207256124805,796,F,33
3646850038673952610,794,M,34
-1084174363886138500,786,M,24
1559994277771029954,785,M,54
7949564026848184479,784,F,30
-8375018069988037384,781,M,29
9219164468944552013,780,M,35
-9122745692722607839,780,M,36
-2982766727048699689,773,M,25
8955594110167688067,773,F,54
5838180418202481702,766,F,35
-4815966759838910186,764,F,34
-7057766843354868345,762,M,18
982722083251426321,760,F,45
1547628431870951431,753,M,34
394352668252551259,743,M,25
-8412643697165833052,742,M,25
-6140889251934158720,741,M,33
-255049046129979307,741,M,23
1544145603717753116,739,M,28
-8233783927591594435,734,M,32
1280777633589722246,731,M,39
5317843922758056841,727,F,62
5854440389230560287,724,F,44
6392800660170702706,717,M,43
6216880192444765409,717,F,29
7094278252602686038,715,F,67
4631836606964127417,714,M,41
-4100678410207151647,711,M,34
-8055909210595694836,710,M,40
-8686980665310410150,710,M,47
-5140746189592726766,710,F,51
-8295503311185390259,709,M,44
-7261935474625053047,708,F,49
-3675856314199492165,708,F,67
4481930301122234412,708,M,38
-1825428870639321563,702,M,37
4917481701711887117,693,M,26
4799024289820487496,693,M,36
-6127113861188221014,687,M,32
-2817025162667558739,687,M,36
-4279990494012217664,676,M,22
-5422750063381127309,675,M,52
-2914588501954113039,673,F,37
-4864412200268155485,671,M,49
2487889042105929410,670,M,26
-7615949442238733326,669,M,36
-2088904414980187896,666,F,45
5871294352051724380,665,M,25
-3453325456199276391,660,M,29
2723008296777697546,658,F,38
3477368667725561691,658,M,29
182836445212489362,656,M,19
4916839392307543175,651,F,40
-6238286127300019791,651,M,57
-8939747905316946109,649,M,39
8292388373526453818,648,M,40
-6694083853638955909,648,F,44
-6943918318265075210,644,M,32
8156187339546970941,640,F,18
-7044502680526381781,638,M,35
3084701927871500055,636,M,44
-1957052737058040152,634,F,33
-8926211772892695918,633,F,29
-1462557469968594058,633,F,32
-6682708874094756203,631,M,38
2700552381152892177,630,M,38
2358250186430578519,629,M,43
-3898316522633267665,620,M,41
-933992182710246359,617,M,59
7103702580533114794,613,M,33
-1864968793374211495,611,M,26
-2511395840834729980,611,M,27
8997228605075894149,611,M,44
-8406077343168461691,611,F,52
2048912178010776797,609,M,32
-1615768235913047879,606,M,45
2417065257417666822,600,M,29
-3251412785674519448,596,M,30
-7069822700313847994,596,M,34
-173653915615733833,595,F,25
-8475614001582282187,594,M,44
9085286543845925004,590,M,34
-2699951377047615934,590,M,32
-4817472425357526495,587,M,19
5892097136712913040,582,F,43
-1298668774396950692,581,M,48
-3441949644822144862,580,M,44
6764707582242379611,580,M,53
591160762719640381,579,M,23
-581114523035230568,579,M,27
-5117359258527760380,573,M,29
-6654673665275268477,573,M,31
2962633026119335685,572,M,25
-449641839958111460,571,F,26
2798088763423475874,569,M,20
-4161937508714078839,567,M,22
7614557487151821260,566,M,39
7102818890309647918,564,M,34
-6538603324945829350,564,M,44
2357937613330621902,563,F,41
-8417909748264594049,560,F,31
-7882183570062087941,558,M,24
-8517854158496965893,558,M,50
-4968154927622705128,555,F,53
3477912678992032560,553,M,27
-5115743434529007516,553,M,30
8586179182239022143,552,M,25
-821194472848646113,551,M,32
-1294154170740141812,550,F,25
765308845491001902,544,F,23
7660903349783064153,544,M,29
8384764560490405922,543,F,22
2992324608287161046,541,M,27
6757373257210324848,539,M,41
2914181808669062920,538,M,53
-2813093011280780528,536,M,39
-6188087276477269826,532,M,37
-5112484953301772688,532,M,46
3181881440930828392,532,M,88
6159128220108520316,531,M,23
7257443478065605870,530,M,33
-2302414377494407717,528,M,30
7353572136329657630,528,F,38
2530541050459203320,526,M,22
5204066764634789305,526,F,39
-2741147956947566995,526,M,39
8560950621744900257,525,M,37
-5373797595892518570,525,F,28
8915610511958695063,525,M,55
6217345725171183545,525,M,32
-8471054182431559078,522,F,36
1844559902415060491,521,M,50
3114242858966936759,520,F,53
5947952786646243965,519,M,34
-6510680360023501546,518,M,37
-8241952332260662574,517,M,19
-2948899224983997197,516,M,53
-1050302093212247479,515,M,23
7565959697267570843,514,M,24
-1427836859659681531,514,F,44
2976914939399446830,511,F,28
2227483981414340356,511,M,49
7566051280927280645,511,F,34
8596940001120334105,510,M,44
-7868922663453980926,510,F,27
-7328709357224664821,509,M,28
-4281812744269137057,508,M,41
-4732550760639132733,508,M,31
3751346568689158386,507,M,30
-3045139278169088099,507,M,32
-3256346525144458566,506,M,27
4601919243830007188,506,M,30
-3139213190647208346,506,F,25
1023369573882581449,505,M,30
-4882770664237647474,503,F,29
3907149164671755798,503,M,25
3449749188242494744,503,M,25
8461286662739940493,498,M,28
237981590480598332,498,M,42
5430296486141030243,497,M,33
-8718447129064429638,495,M,46
4940470469972165699,495,M,29
7219455262010854222,494,M,40
7951048787548122125,494,M,38
4554772006380391619,493,M,50
1931509655515140682,493,M,53
-3184462246798874051,490,M,50
3864672045456314600,490,F,29
5642002162138626702,489,M,32
-8658253277334372316,489,M,24
5457770118811938655,488,M,24
5815447477001178309,485,M,74
-1405959052357870432,485,F,27
3048313857640949404,483,M,27
-6096615357726467477,482,M,33
-7941251700658434927,481,M,23
4575945861076196564,481,M,33
8820350727188217885,480,M,47
8515271180335771720,479,M,31
-806096877239654999,478,M,26
-736899993504126239,477,M,47
-930163358390693288,477,M,44
7650301571184539286,476,M,45
5296492711417993681,476,M,24
-8906889682563706361,475,M,43
2905362259416474453,474,F,42
5921525296969342076,472,M,35
6334463902067148106,470,F,48
-5102294628467403240,469,F,37
2206447873191973996,469,M,24
-7543777354189481880,468,M,37
-8161668062299380280,468,M,36
8615632076885313080,468,M,48
-1751975526925082860,467,F,22
7220323704670664429,467,F,32
-7910519607243379118,466,M,42
8221364290697856847,466,M,30
-4194527338207468728,465,M,36
8952016957806593575,463,M,36
-3128459633776379348,462,M,26
4626643993005188492,462,F,35
8414872594101837607,462,M,28
-9127983430276123114,462,M,25
-7913427491559044002,461,F,43
-992325023540651810,461,F,43
1210097034744626081,460,M,23
2204630292293186059,460,F,33
8293801875519036672,459,M,31
2295197942422576475,459,M,50
6679504766474645030,459,M,35
-126665215474562445,459,M,25
-540200947281428061,458,M,43
-3656132883647868884,457,M,19
7201631899279333659,457,M,28
-1487781216748190206,457,M,23
-3190045112021327276,456,M,29
3294449415906601760,455,M,27
-3238637140671131042,455,M,31
-2057895881601695782,452,F,25
381451092811135454,452,M,40
2505272654701026957,451,M,46
4759165908326253442,451,F,26
7974507647649071341,451,M,32
3198111679433927531,451,M,25
-5853822721649908988,451,M,51
2034326535154143211,451,F,23
-8640137724042537581,449,M,29
-7333254297100722555,448,M,25
-7890263344496936933,448,M,42
1059417064852703172,448,M,28
2236270255494208040,447,M,36
-2203846709594199868,446,M,34
3611475270634386329,445,F,30
-7809464370822327332,443,M,43
-8007475719243926233,443,M,25
1999051376221727371,442,F,49
2438946640360981567,442,M,33
7945123295758940220,441,M,26
-6721282316856295152,440,M,33
3289123693645718428,440,M,33
-3419759584302765406,440,M,20
245222316950606417,438,M,19
2735525099593235471,437,M,31
3678539090192016434,436,M,30
6954417422851442330,436,F,43
4424928764046125276,436,F,30
-5404226065799703830,435,M,35
-7712291651357478164,435,M,44
-1987232476024835929,434,M,29
2672928858170991808,434,M,33
7386419580828642414,434,M,46
7089356745231689280,434,M,31
-810703900933334464,433,F,29
-3910947054781314708,433,M,27
5046556914134776640,433,M,46
-7906047472794956226,433,M,47
-2951814301835661630,433,M,44
8012501920184449458,432,M,42
2115961289860376100,432,M,28
1126020412841546876,431,M,24
7087869635034063274,430,F,33
1060791941422594981,428,M,44
6200336717510309214,428,M,31
7052494167889525114,428,M,31
-6125804697859063512,426,M,34
-3762561587120285467,424,M,65
-341673506902548232,424,M,33
-2803858671924135044,423,M,48
4999326863344300791,422,M,45
6432692776131476972,421,M,29
-1147020914112375737,420,M,65
-1145895126467229671,420,M,46
7434944907749360901,420,M,31
-7711437565627876987,419,M,29
-3107504079501249668,418,M,45
4855115511653328385,416,M,42
-7665909454722013931,415,M,26
-6020208039003132576,415,M,23
5346839702276373227,413,F,43
2508922768609344133,413,M,53
-7068808712009101262,412,M,29
-5055183777931852446,411,F,30
2171055838848174406,411,M,34
3928609123815185740,411,M,33
6194686538846144777,411,M,20
-5324056661800389653,411,F,62
2831969240462715632,410,F,35
3672282396637512645,409,M,47
-6226951052624455656,408,F,35
5720604578351855317,406,M,35
4555936814091772090,405,M,32
7180704268982110010,405,M,21
-8778526176668889965,404,M,43
4593177088971190048,403,M,19
4609469847800065382,401,F,34
3609111377277085838,401,M,33
-6131802011884414868,401,F,34
-5316213127110746706,400,M,39
5147079968593783256,400,M,62
-9073865363144386943,400,F,27
-4336525427500395751,399,M,38
-5948036752238710750,399,M,59
3831329905138072066,399,M,36
2559867111571777749,399,M,26
-1976764231358844252,398,M,28
7284455604264109000,398,M,24
7473034691150293199,398,M,41
-5317745724179407738,397,M,37
8096420021788624475,396,M,27
-2611733232907371667,396,F,41
9189971684508341455,396,M,22
-3072924927205715569,396,F,43
-1446284437640179964,395,M,33
7804225525552008762,395,F,19
4636476760045036838,394,M,26
2978982637984462252,394,M,35
178694180701730934,393,F,45
4657697113512107583,391,M,38
-2862796271906687296,390,M,21
246704497514222961,390,M,66
8781655188184243016,390,M,37
-809185141858411671,389,M,41
-3532244909584794604,389,F,28
-5082733512360837315,389,M,31
-5294356288095975568,388,F,25
7643284069887058902,388,F,41
8465798159996304706,388,F,50
3508355223010461261,388,M,25
-4248738603898077147,387,M,28
-7534283352498534711,387,M,28
2452401383106523402,387,M,25
6474089263750492894,387,F,45
5542982493096820561,386,F,30
-4664097197904771549,386,M,42
6093409086111240127,385,M,29
6586699766320420707,385,M,34
2510851418746740937,385,M,36
3993482798599947994,385,M,28
4175051417375546446,384,F,36
4248604159924686976,382,M,58
-2139596512697405229,382,M,34
-2360143426150151505,382,M,35
-1100158059681089294,382,F,28
-3090166955280575327,382,M,33
-1407669367877111416,382,M,54
3010974422078283719,381,M,26
-7228131901120721772,381,M,28
5340985558103613429,381,M,44
-4559924861250620421,380,F,37
7358058701857556235,380,F,57
5062992911097960831,380,M,27
-4496984528158017,379,M,29
-8729808929347730608,379,M,27
8380998253897898540,379,M,36
8011226863669745839,378,F,60
-2549038872164501503,378,F,30
-3269926321565159091,377,M,44
-7742230307208298079,377,F,32
-2043171475196406548,377,F,39
-4644930718124342424,376,F,35
5313820874737547296,376,M,28
2557431222826171964,376,F,49
-1471495994717130052,376,F,37
-465142462502226050,375,M,24
-5935411131112829781,375,M,43
-8705128918819769812,375,F,26
-6469026045772465017,375,M,49
2697766335073060431,374,M,38
-8440630265709278361,374,M,28
-7120386356964733160,373,M,54
8699026736095525739,372,M,26
-4701283042032161592,370,M,39
4936063047546758457,370,M,36
-2725106615508926787,369,F,17
-2109240062444286231,369,M,31
7939964667793308252,368,M,30
-4110371130681441871,368,F,24
-867021448560743464,368,M,34
-7045119524579265989,368,M,22
-1936834210441403933,366,M,29
764470450119346718,366,M,41
801216239798713670,365,M,35
-2200024706981051998,365,M,34
-7038672288289215658,365,F,25
4750870437766392528,364,M,27
3347197191454815714,363,M,30
-42961107734561676,362,M,28
-56875045320056708,362,M,39
-4770420629387690359,362,F,27
-8129655779260576690,362,M,26
2488356127177226115,362,F,39
6096233136259155440,361,M,27
-180244343691826546,361,M,31
-3190679522032368888,361,M,54
2432986707283760727,361,M,50
2698525505202181803,360,M,24
6150135805542202405,360,F,24
-8108123093839422720,360,M,46
-2818127251459108244,360,F,59
6115737672068352707,360,M,34
-5761259307584729199,359,F,48
-7839621909216476700,359,M,40
-6337414863554381032,359,M,32
5176176272850190180,358,M,52
-8673186272347802118,358,M,41
-5132208792582977295,357,M,37
8750074241196451661,356,F,24
-2086717918071766212,356,F,45
-3286005492684000811,354,F,17
-5761982874085298564,354,F,36
7276613474548026639,354,F,25
-5543610845285849463,354,M,27
-1918105925098095847,354,M,30
8559574543434135260,353,F,28
-839850009592711757,353,M,28
3874431223200027722,353,M,41
5924174755240072459,353,M,20
-1652871882320738645,352,M,31
4129460574740060523,351,M,35
3676123187604866768,351,M,26
-5425179864411221400,351,M,39
-7505063740126954589,350,M,34
6936949576827916799,349,M,39
4009068334528037900,349,M,56
6972499572238093782,348,F,49
-150313729705191563,348,M,32
6721639827938905415,347,F,22
-6015036751826222896,346,F,48
-2024758252010196511,345,M,35
-2565554173245153605,345,M,28
2203624452263408724,345,M,28
-5189881483734033534,345,M,46
1727035210770582967,344,F,23
8613469012854924323,343,F,57
8250516622760332376,343,M,28
1221795179605164283,343,M,49
-3310045835362138089,343,F,32
-871880017536650108,342,M,36
422934499231136724,342,M,61
-2107177132625990978,342,M,37
-3680792582266044240,341,F,41
1052872047402580097,340,F,48
3077133957621611412,340,M,31
6761126820111658892,340,M,28
6283048874455699147,339,M,46
980393137531206481,339,M,29
-1065553319625941359,339,F,63
-558562630180776495,338,F,36
-7616175892068103491,338,M,24
-8002912250673521279,338,M,30
4345228195681954030,338,M,22
-3370829242814227735,337,M,53
4829043476172013695,337,F,53
-4228760668183547802,337,F,57
-6355080534779026510,337,M,23
-6225748279665651076,337,M,44
-4521674143941410384,336,M,75
-8160163826533079546,335,M,27
-2878417353233429413,334,M,29
1526453101276362580,334,M,22
-6254526605737531,334,M,36
-3271942948432756010,334,M,22
-2710651874579543640,332,M,20
-1013918020565230379,332,F,25
-5461194006063661617,332,M,31
-4447768106423186573,332,F,31
1500048808747793431,332,M,31
2270800313013447106,332,M,34
