Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2020-01-02,9092.19,9093.43,9010.89,13619420031125.0,1808170287.0
2020-01-03,9020.77,9065.76,8976.43,13512806108715.0,23639245.0
2020-01-06,9071.46,9072.41,8943.5,13588827998533.0,52328259.0
2020-01-07,9068.58,9091.93,9042.55,13577809995537.0,1004833399.0
2020-01-08,9129.24,9168.89,9059.38,13668728549434.0,18978983.0
2020-01-09,9203.43,9215.95,9158.5,13779864254681.0,229478039.0
2020-01-10,9178.86,9235.2,9164.66,13743195704496.0,14209337.0
2020-01-13,9273.93,9274.49,9193.06,13885714627043.0,0.0
2020-01-14,9251.33,9298.33,9226.49,13851856319009.0,29385008.0
2020-01-15,9258.7,9298.82,9231.14,13867229528864.0,545233.0
2020-01-16,9357.13,9357.92,9301.32,14012212507052.0,91903971.0
2020-01-17,9388.94,9393.48,9346.81,14058070637872.0,1702718.0
2020-01-21,9370.81,9397.58,9350.2,14031320102802.0,0.0
2020-01-22,9383.77,9439.29,9375.13,14052051751001.0,0.0
2020-01-23,9402.48,9409.2,9334.13,14088103817913.0,44651005.0
2020-01-24,9314.91,9451.43,9273.23,13954882001546.0,189141593.0
2020-01-27,9139.31,9185.45,9088.04,13691834261151.0,8644987.0
2020-01-28,9269.68,9288.87,9182.33,13887239640559.0,12190279.0
2020-01-29,9275.16,9329.11,9249.04,13894783001010.0,3058537.0
2020-01-30,9298.93,9303.0,9185.18,13930421518055.0,1404693772.0
2020-01-31,9150.94,9324.8,9123.22,13710097806565.0,402486317.0
2020-02-03,9273.4,9299.85,9188.55,13893853844042.0,53171019.0
2020-02-04,9467.97,9485.38,9374.05,14186588361565.0,266598754.0
2020-02-05,9508.68,9574.94,9454.93,14248645829920.0,564641969.0
2020-02-06,9572.15,9575.66,9505.68,14343769733307.0,1968357090.0
2020-02-07,9520.51,9570.09,9496.53,14278703737590.0,3579060866.0
2020-02-10,9628.39,9628.66,9493.63,14437493864993.0,286232674.0
2020-02-11,9638.94,9714.74,9617.21,14453836766142.0,173809107.0
2020-02-12,9725.96,9728.77,9666.68,14584948715999.0,92740026.0
2020-02-13,9711.97,9748.32,9650.02,14572752860261.0,1251454659.0
2020-02-14,9731.18,9746.36,9693.05,14594346694435.0,265899591.0
2020-02-18,9732.74,9747.68,9675.8,14596831053412.0,613126743.0
2020-02-19,9817.18,9838.37,9777.1,14724625438650.0,4373525456.0
2020-02-20,9750.96,9820.86,9636.94,14625323267210.0,281262199.0
2020-02-21,9576.59,9715.95,9542.33,14362862144342.0,270290883.0
2020-02-24,9221.28,9322.88,9166.01,13830133028277.0,125272606.0
2020-02-25,8965.61,9315.26,8940.49,13446776830826.0,391394051.0
2020-02-26,8980.77,9148.32,8927.8,13472281038665.0,366221628.0
2020-02-27,8566.48,8904.11,8562.05,12851780065411.0,1230516549.0
2020-02-28,8567.37,8591.82,8264.16,12853137485796.0,628901858.0
2020-03-02,8952.16,8952.81,8543.35,13431536151639.0,108657283.0
2020-03-03,8684.09,9070.32,8602.89,13028912391756.0,215661522.0
2020-03-04,9018.09,9019.96,8757.66,13530048526063.0,764045809.0
2020-03-05,8738.6,8921.08,8677.39,13110735541702.0,1852717433.0
2020-03-06,8575.62,8612.36,8375.13,12866631943292.0,104412887.0
2020-03-09,7950.68,8243.31,7943.16,11928922947796.0,539742653.0
2020-03-10,8344.25,8347.4,7930.43,12521532258949.0,83813962.0
2020-03-11,7952.05,8181.36,7850.95,11933086681236.0,109336368.0
2020-03-12,7201.8,7712.33,7194.67,10807185801364.0,2589748224.0
2020-03-13,7874.88,7875.93,7219.09,11817867067765.0,848647734.0
2020-03-16,6904.59,7422.2,6882.86,10362343078024.0,204396700.0
2020-03-17,7334.78,7406.23,6828.91,11005615506526.0,295558855.0
2020-03-18,6989.84,7182.83,6686.36,10488336245370.0,51182607.0
2020-03-19,7150.58,7341.38,6858.38,10729769738442.0,486807980.0
2020-03-20,6879.52,7354.44,6854.67,10323187645116.0,1296195323.0
2020-03-23,6860.67,6984.94,6631.42,10295186398591.0,21505275.0
2020-03-24,7417.86,7418.37,7169.86,11132396389227.0,354677140.0
2020-03-25,7384.3,7671.21,7276.4,11082098310818.0,41883731.0
2020-03-26,7797.54,7809.82,7462.21,11702292754710.0,164004565.0
2020-03-27,7502.38,7716.24,7491.13,11259645835967.0,36810550.0
2020-03-30,7774.15,7784.35,7539.97,11667635723235.0,1118841556.0
2020-03-31,7700.1,7880.31,7642.86,11556639037524.0,1154023387.0
2020-04-01,7360.58,7566.37,7301.98,11059789081063.0,37690799.0
2020-04-02,7487.31,7501.7,7307.95,11250232494299.0,1921925384.0
2020-04-03,7373.08,7518.72,7288.11,11076349291801.0,81480518.0
2020-04-06,7913.24,7938.33,7617.79,11888776865471.0,32608514.0
2020-04-07,7887.26,8146.43,7881.22,11849770529689.0,50110787.0
2020-04-08,8090.9,8114.43,7901.94,12151846853963.0,75741616.0
2020-04-09,8153.58,8227.91,8072.32,12246579177155.0,216864794.0
2020-04-13,8192.42,8200.44,8035.95,12304947664957.0,0.0
2020-04-14,8515.74,8531.11,8338.09,12791021558271.0,354662876.0
2020-04-15,8393.18,8464.66,8308.79,12607122981491.0,22337046.0
2020-04-16,8532.36,8560.16,8393.27,12816585664386.0,11784503.0
2020-04-17,8650.14,8670.3,8531.69,12985030799954.0,11261332.0
2020-04-20,8560.73,8684.91,8553.37,12850661821231.0,3348335.0
2020-04-21,8263.23,8480.29,8215.69,12403942692376.0,1425050.0
2020-04-22,8495.38,8537.31,8404.54,12752597318261.0,1785362.0
2020-04-23,8494.75,8635.22,8475.2,12751683537994.0,37745477.0
2020-04-24,8634.52,8642.93,8464.42,12965782788048.0,128220088.0
2020-04-27,8730.16,8754.57,8697.37,13109982281630.0,152032723.0
2020-04-28,8607.73,8830.57,8600.7,12919294273130.0,12196862.0
2020-04-29,8914.71,8957.26,8765.01,13380363402007.0,178823589.0
2020-04-30,8889.55,8926.11,8825.83,13318940321606.0,905056360.0
2020-05-01,8604.95,8754.46,8566.84,12892458518508.0,990429042.0
2020-05-04,8710.71,8715.82,8537.83,13050723300001.0,11643454.0
2020-05-05,8809.12,8909.96,8781.31,13197848682913.0,178201249.0
2020-05-06,8854.39,8933.25,8819.37,13265156625332.0,1502930064.0
