date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2021-07-27,3467.45,3483.87,3381.18,3380.28,4690754.5,-86.26,-2.49,3507.282,3524.471,3536.285,4156849.4,3810461.93,3525138.08
2021-07-26,3538.01,3538.01,3467.44,3424.74,4428822.0,-82.96,-2.34,3538.404,3543.005,3545.885,3806259.7,3703803.18,3443635.94
2021-07-23,3571.72,3571.85,3550.4,3541.51,4464212.5,-24.33,-0.68,3552.74,3551.045,3552.832,3594017.2,3664560.53,3382832.33
2021-07-22,3563.66,3576.47,3574.73,3558.29,3810670.5,12.07,0.34,3550.52,3548.414,3555.69,3433204.25,3568023.6,3332665.61
2021-07-21,3543.05,3569.09,3562.66,3543.05,3389787.5,25.87,0.73,3548.492,3543.491,3555.286,3397588.5,3537834.4,3309852.46
2021-07-20,3515.07,3538.64,3536.79,3509.19,2937806.0,-2.33,-0.07,3541.66,3542.597,3555.464,3464074.45,3517694.85,3295717.85
2021-07-19,3530.49,3544.88,3539.12,3506.34,3367609.5,-0.18,-0.01,3547.606,3541.944,3556.495,3601346.65,3537984.45,3302595.75
2021-07-16,3559.53,3566.0,3539.3,3537.73,3660147.75,-25.29,-0.71,3549.35,3541.464,3555.998,3735103.85,3489318.33,3274664.41
2021-07-15,3519.06,3565.93,3564.59,3514.26,3632591.75,36.09,1.02,3546.308,3539.41,3555.288,3702842.95,3415249.1,3240011.31
2021-07-14,3560.83,3560.83,3528.5,3525.49,3722217.25,-38.02,-1.07,3538.49,3541.829,3553.338,3678080.3,3343873.13,3196996.69
2021-07-13,3547.59,3567.48,3566.52,3542.82,3624167.0,18.68,0.53,3543.534,3548.099,3552.83,3571315.25,3239814.23,3167184.48
2021-07-12,3545.2,3565.03,3547.84,3527.39,4036395.5,23.75,0.67,3536.282,3548.765,3552.332,3474622.25,3183468.7,3160560.41
2021-07-09,3512.23,3529.31,3524.09,3485.05,3498843.25,-1.41,-0.04,3533.578,3554.618,3554.427,3243532.8,3101104.13,3139018.13
2021-07-08,3557.22,3558.68,3525.5,3521.06,3508778.5,-28.22,-0.79,3532.512,3562.965,3558.766,3127655.25,3097307.63,3123163.36
2021-07-07,3508.59,3557.88,3553.72,3504.47,3188392.0,23.46,0.67,3545.168,3567.08,3562.061,3009665.95,3081870.53,3096886.09
2021-07-06,3533.13,3538.35,3530.26,3496.93,3140702.0,-4.06,-0.12,3552.664,3568.33,3563.38,2908313.2,3073740.85,3089712.23
2021-07-05,3516.92,3534.32,3534.32,3510.58,2880948.25,15.56,0.44,3561.248,3571.045,3566.844,2892315.15,3067207.05,3084536.46
2021-07-02,3569.89,3569.89,3518.76,3514.34,2919455.5,-70.02,-1.95,3575.658,3570.531,3569.72,2958675.45,3060010.5,3105935.58
2021-07-01,3600.55,3607.7,3588.78,3573.94,2918832.0,-2.42,-0.07,3593.418,3571.165,3572.993,3066960.0,3064773.53,3137079.31
2021-06-30,3572.62,3594.12,3591.2,3569.5,2681628.25,18.02,0.5,3588.992,3564.847,3573.411,3154075.1,3050120.25,3165416.93
2021-06-29,3601.68,3601.83,3573.18,3570.53,3060711.75,-33.19,-0.92,3583.996,3557.56,3575.086,3239168.5,3094554.73,3207741.23
2021-06-28,3612.25,3614.36,3606.37,3594.22,3212749.75,-1.19,-0.03,3580.842,3555.898,3577.201,3242098.95,3137652.13,3220467.53
2021-06-25,3567.38,3614.3,3607.56,3564.52,3460878.25,40.91,1.15,3565.404,3554.236,3576.922,3161345.55,3176932.13,3234434.45
2021-06-24,3568.58,3570.49,3566.65,3548.82,3354407.5,0.43,0.01,3548.912,3554.566,3576.986,3062587.05,3149019.1,3216166.28
2021-06-23,3559.4,3577.47,3566.22,3549.85,3107095.25,8.81,0.25,3540.702,3557.041,3578.322,2946165.4,3111901.65,3219436.05
2021-06-22,3539.79,3560.19,3557.41,3536.81,3075364.0,28.23,0.8,3531.124,3558.43,3579.078,2949940.95,3105683.6,3234701.85
